0, 0.499954, -0.0100001, 1, 0.00999994, 0.99995, 0.00500007, -1, 0.00499985, 0.500004, 
30.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
31.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
32, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
